IV,K,Lambda,S,V,ask,bid,charm,color,delta,exp,gamma,itm,openInterest,opt_type,q,r,rho,speed,t,theta,ultima,vanna,vega,veta,volume,vomma
0.7227,305.0,4.6502,387.12,82.34,82.78,81.89,0.004,0.0002,0.9891,2021-12-09,0.0007,True,1.0,call,0.0,0.01,0.0652,-0.0,0.02169330289193303,-0.0828,0.3169,-4.3735,0.0163,0.0062,1.0,0.0039
0.4517,345.0,8.7375,387.12,42.6,43.05,42.16,0.0089,0.0004,0.9615,2021-12-09,0.0032,True,32.0,call,0.0,0.01,0.0715,-0.0002,0.02169330289193303,-0.145,0.0046,-2.8142,0.0477,0.012,2.0,0.0142
0.4028,355.0,10.97,387.12,32.9,33.34,32.46,0.0118,0.0004,0.9323,2021-12-09,0.0057,True,10.0,call,0.0,0.01,0.0712,-0.0004,0.02169330289193303,-0.1987,-0.847,-2.0542,0.0746,0.0147,10.0,0.0162
0.3943,357.0,11.5337,387.12,30.99,31.43,30.55,0.0124,0.0004,0.9233,2021-12-09,0.0064,True,1.0,call,0.0,0.01,0.0708,-0.0004,0.02169330289193303,-0.2134,-1.0807,-1.8877,0.0821,0.0153,1.0,0.0155
0.3815,360.0,12.4728,387.12,28.16,28.58,27.73,0.0132,0.0003,0.9073,2021-12-09,0.0076,True,5.0,call,0.0,0.01,0.0701,-0.0005,0.02169330289193303,-0.2368,-1.4435,-1.642,0.0946,0.016,5.0,0.0135
0.376,362.0,13.1359,387.12,26.32,26.72,25.92,0.0137,0.0003,0.8931,2021-12-09,0.0086,True,2.0,call,0.0,0.01,0.0693,-0.0005,0.02169330289193303,-0.2582,-1.6729,-1.4581,0.105,0.0164,1.0,0.0109
0.3656,364.0,13.9259,387.12,24.46,24.85,24.08,0.0141,0.0002,0.8799,2021-12-09,0.0096,True,6.0,call,0.0,0.01,0.0686,-0.0006,0.02169330289193303,-0.2721,-1.8944,-1.315,0.1141,0.0166,6.0,0.0083
0.3564,366.0,14.7817,387.12,22.63,23.03,22.23,0.0143,0.0001,0.8641,2021-12-09,0.0107,True,2.0,call,0.0,0.01,0.0677,-0.0006,0.02169330289193303,-0.2884,-2.0866,-1.1656,0.1244,0.0168,0.0,0.0045
0.3516,368.0,15.635,387.12,20.88,21.24,20.53,0.0144,-0.0,0.8433,2021-12-09,0.012,True,7.0,call,0.0,0.01,0.0663,-0.0006,0.02169330289193303,-0.3122,-2.1751,-0.9961,0.1368,0.0169,1.0,-0.0012
0.34,370.0,16.7285,387.12,19.08,19.37,18.8,0.0143,-0.0002,0.8245,2021-12-09,0.0133,True,5.0,call,0.0,0.01,0.0651,-0.0007,0.02169330289193303,-0.3244,-2.2847,-0.8686,0.1472,0.0169,47.0,-0.0069
0.3333,372.0,17.8124,387.12,17.38,17.65,17.11,0.0138,-0.0003,0.7997,2021-12-09,0.0147,True,10.0,call,0.0,0.01,0.0634,-0.0007,0.02169330289193303,-0.3443,-2.2377,-0.7238,0.1598,0.0167,1.0,-0.0148
0.3253,374.0,19.0552,387.12,15.7,15.95,15.45,0.0132,-0.0005,0.7728,2021-12-09,0.0163,True,20.0,call,0.0,0.01,0.0615,-0.0007,0.02169330289193303,-0.361,-2.1108,-0.5927,0.1719,0.0165,6.0,-0.0239
0.321,375.0,19.7306,387.12,14.88,15.16,14.61,0.0127,-0.0006,0.7584,2021-12-09,0.017,True,3.0,call,0.0,0.01,0.0605,-0.0007,0.02169330289193303,-0.3683,-2.0149,-0.5315,0.1779,0.0163,33.0,-0.0287
0.3174,376.0,20.4318,387.12,14.07,14.33,13.8,0.0121,-0.0007,0.7426,2021-12-09,0.0178,True,28.0,call,0.0,0.01,0.0593,-0.0007,0.02169330289193303,-0.3762,-1.8791,-0.4701,0.184,0.0161,2.0,-0.034
0.3137,377.0,21.1503,387.12,13.29,13.54,13.04,0.0115,-0.0008,0.7261,2021-12-09,0.0186,True,12.0,call,0.0,0.01,0.0581,-0.0007,0.02169330289193303,-0.3835,-1.7205,-0.4123,0.1899,0.0159,12.0,-0.0395
0.3094,378.0,21.9605,387.12,12.5,12.75,12.24,0.0107,-0.0009,0.7091,2021-12-09,0.0194,True,46.0,call,0.0,0.01,0.0568,-0.0007,0.02169330289193303,-0.3891,-1.5505,-0.3579,0.1955,0.0157,32.0,-0.0453
0.3064,379.0,22.7268,387.12,11.76,11.98,11.55,0.0098,-0.001,0.6904,2021-12-09,0.0202,True,54.0,call,0.0,0.01,0.0554,-0.0006,0.02169330289193303,-0.396,-1.3394,-0.3042,0.201,0.0155,31.0,-0.0511
0.3018,380.0,23.639,387.12,11.0,11.22,10.77,0.0089,-0.0011,0.6717,2021-12-09,0.021,True,406.0,call,0.0,0.01,0.054,-0.0006,0.02169330289193303,-0.3995,-1.1411,-0.2559,0.2061,0.0153,103.0,-0.0572
0.2942,382.0,25.5167,387.12,9.57,9.72,9.41,0.0067,-0.0013,0.6308,2021-12-09,0.0225,True,40.0,call,0.0,0.01,0.0509,-0.0005,0.02169330289193303,-0.4061,-0.7048,-0.1658,0.2151,0.0149,16.0,-0.0691
0.2899,383.0,26.5834,387.12,8.87,9.01,8.73,0.0054,-0.0014,0.6091,2021-12-09,0.0232,True,26.0,call,0.0,0.01,0.0492,-0.0004,0.02169330289193303,-0.4069,-0.501,-0.1257,0.2189,0.0147,4.0,-0.0748
0.2856,384.0,27.6885,387.12,8.2,8.34,8.07,0.0041,-0.0015,0.5865,2021-12-09,0.0239,True,47.0,call,0.0,0.01,0.0475,-0.0004,0.02169330289193303,-0.4065,-0.3159,-0.0889,0.2221,0.0145,12.0,-0.0805
0.2808,385.0,28.944,387.12,7.53,7.61,7.45,0.0027,-0.0015,0.563,2021-12-09,0.0246,True,483.0,call,0.0,0.01,0.0457,-0.0003,0.02169330289193303,-0.4041,-0.163,-0.0552,0.2246,0.0144,109.0,-0.086
0.2771,386.0,30.1685,387.12,6.91,6.99,6.83,0.0011,-0.0016,0.5385,2021-12-09,0.0251,True,57.0,call,0.0,0.01,0.0437,-0.0002,0.02169330289193303,-0.4017,-0.0526,-0.0244,0.2264,0.0144,14.0,-0.0901
0.2734,387.0,31.4412,387.12,6.32,6.39,6.24,-0.0004,-0.0016,0.5133,2021-12-09,0.0256,True,27.0,call,0.0,0.01,0.0417,-0.0001,0.02169330289193303,-0.3978,-0.0028,0.0029,0.2273,0.0143,6.0,-0.0937
0.2692,388.0,32.858,387.12,5.74,5.82,5.66,-0.0021,-0.0016,0.4872,2021-12-09,0.026,False,25.0,call,0.0,0.01,0.0397,-0.0,0.02169330289193303,-0.3915,-0.0265,0.0268,0.2274,0.0144,125.0,-0.0964
0.2655,389.0,34.2973,387.12,5.2,5.27,5.12,-0.0037,-0.0016,0.4607,2021-12-09,0.0262,False,36.0,call,0.0,0.01,0.0376,0.0001,0.02169330289193303,-0.3842,-0.1356,0.0474,0.2264,0.0145,97.0,-0.0973
0.2618,390.0,35.8665,387.12,4.68,4.75,4.6,-0.0054,-0.0016,0.4336,2021-12-09,0.0264,False,334.0,call,0.0,0.01,0.0354,0.0002,0.02169330289193303,-0.3753,-0.3392,0.0645,0.2243,0.0147,304.0,-0.0974
0.2576,391.0,37.5914,387.12,4.18,4.25,4.11,-0.007,-0.0016,0.4059,2021-12-09,0.0264,False,178.0,call,0.0,0.01,0.0332,0.0004,0.02169330289193303,-0.3639,-0.6477,0.0786,0.2211,0.0149,113.0,-0.0957
0.2536,392.0,39.326,387.12,3.72,3.79,3.65,-0.0086,-0.0015,0.3779,2021-12-09,0.0263,False,249.0,call,0.0,0.01,0.0309,0.0005,0.02169330289193303,-0.351,-1.0596,0.0896,0.2167,0.0152,438.0,-0.0925
0.2499,393.0,41.183,387.12,3.29,3.36,3.22,-0.0101,-0.0014,0.35,2021-12-09,0.026,False,390.0,call,0.0,0.01,0.0287,0.0006,0.02169330289193303,-0.3369,-1.565,0.0975,0.2112,0.0156,312.0,-0.0871
0.246,394.0,43.1324,387.12,2.89,2.96,2.82,-0.0116,-0.0012,0.322,2021-12-09,0.0256,False,343.0,call,0.0,0.01,0.0264,0.0008,0.02169330289193303,-0.3209,-2.1587,0.1027,0.2044,0.016,377.0,-0.0801
0.2429,395.0,45.1079,387.12,2.53,2.59,2.47,-0.0128,-0.0011,0.2948,2021-12-09,0.0249,False,760.0,call,0.0,0.01,0.0242,0.0009,0.02169330289193303,-0.3047,-2.7855,0.1051,0.1967,0.0164,625.0,-0.0707
0.2399,396.0,47.211,387.12,2.2,2.26,2.14,-0.0139,-0.0009,0.2683,2021-12-09,0.0241,False,592.0,call,0.0,0.01,0.0221,0.001,0.02169330289193303,-0.2875,-3.427,0.1051,0.1879,0.0167,527.0,-0.0599
0.2332,398.0,51.7833,387.12,1.62,1.67,1.58,-0.0154,-0.0005,0.2167,2021-12-09,0.0221,False,590.0,call,0.0,0.01,0.0178,0.0012,0.02169330289193303,-0.2487,-4.6542,0.0996,0.1673,0.0174,1090.0,-0.034
0.2289,400.0,56.3292,387.12,1.18,1.22,1.15,-0.016,-0.0001,0.1717,2021-12-09,0.0195,False,2693.0,call,0.0,0.01,0.0142,0.0014,0.02169330289193303,-0.2117,-5.3373,0.0887,0.1452,0.0178,3212.0,-0.006
0.3735,371.0,20.832,387.12,16.76,17.21,16.31,0.0372,0.0014,0.9019,2021-12-04,0.0134,True,30.0,call,0.0,0.01,0.0266,-0.0014,0.007994672754946728,-0.3923,-0.9596,-1.6325,0.0599,0.0269,60.0,0.0225
0.3772,372.0,21.5608,387.12,15.89,16.27,15.51,0.0386,0.001,0.885,2021-12-04,0.0149,True,43.0,call,0.0,0.01,0.0261,-0.0014,0.007994672754946728,-0.4431,-1.0586,-1.42,0.0672,0.0276,3.0,0.0158
0.3638,372.5,22.3148,387.12,15.36,15.81,14.92,0.0387,0.0011,0.8854,2021-12-04,0.0154,True,108.0,call,0.0,0.01,0.0262,-0.0015,0.007994672754946728,-0.4268,-1.1351,-1.4268,0.067,0.0276,7.0,0.0172
0.3699,373.0,22.5859,387.12,14.97,15.34,14.6,0.0393,0.0007,0.8734,2021-12-04,0.0162,True,20.0,call,0.0,0.01,0.0258,-0.0015,0.007994672754946728,-0.4646,-1.1545,-1.297,0.0719,0.0279,8206.0,0.0117
0.365,374.0,23.6317,387.12,14.07,14.44,13.7,0.0398,0.0004,0.8589,2021-12-04,0.0177,True,177.0,call,0.0,0.01,0.0255,-0.0016,0.007994672754946728,-0.4932,-1.226,-1.1611,0.0775,0.0281,8212.0,0.0059
0.3589,375.0,24.781,387.12,13.18,13.53,12.82,0.0399,-0.0001,0.8437,2021-12-04,0.0193,True,1531.0,call,0.0,0.01,0.0251,-0.0016,0.007994672754946728,-0.5186,-1.2795,-1.0373,0.0829,0.0282,54.0,-0.0007
0.3528,376.0,26.0283,387.12,12.3,12.65,11.96,0.0397,-0.0005,0.827,2021-12-04,0.021,True,77.0,call,0.0,0.01,0.0246,-0.0017,0.007994672754946728,-0.5439,-1.309,-0.9173,0.0886,0.0281,2.0,-0.0084
0.343,377.0,27.5399,387.12,11.4,11.68,11.11,0.0392,-0.001,0.811,2021-12-04,0.0228,True,67.0,call,0.0,0.01,0.0242,-0.0018,0.007994672754946728,-0.5585,-1.3437,-0.8171,0.0936,0.028,12.0,-0.0166
0.3406,377.5,28.2301,387.12,10.98,11.26,10.69,0.0387,-0.0013,0.8007,2021-12-04,0.0237,True,80.0,call,0.0,0.01,0.0239,-0.0018,0.007994672754946728,-0.5725,-1.3252,-0.7578,0.0967,0.0279,21.0,-0.0218
0.332,378.0,29.2773,387.12,10.5,10.82,10.19,0.0383,-0.0015,0.7941,2021-12-04,0.0248,True,175.0,call,0.0,0.01,0.0237,-0.0018,0.007994672754946728,-0.5691,-1.3658,-0.7227,0.0986,0.0278,426.0,-0.0262
0.3339,379.0,30.4376,387.12,9.75,10.01,9.49,0.0363,-0.0023,0.7666,2021-12-04,0.0265,True,160.0,call,0.0,0.01,0.0229,-0.0017,0.007994672754946728,-0.6141,-1.204,-0.5887,0.106,0.0273,415.0,-0.0391
0.329,380.0,32.0812,387.12,8.95,9.2,8.7,0.034,-0.0029,0.7417,2021-12-04,0.0284,True,538.0,call,0.0,0.01,0.0222,-0.0017,0.007994672754946728,-0.6385,-1.0793,-0.4865,0.1119,0.0268,172.0,-0.0517
0.3247,381.0,33.8091,387.12,8.18,8.42,7.94,0.031,-0.0036,0.7144,2021-12-04,0.0302,True,244.0,call,0.0,0.01,0.0215,-0.0016,0.007994672754946728,-0.6619,-0.9154,-0.3909,0.1176,0.0262,22.0,-0.0647
0.3186,382.0,35.7903,387.12,7.42,7.64,7.2,0.0274,-0.0043,0.686,2021-12-04,0.0322,True,260.0,call,0.0,0.01,0.0206,-0.0015,0.007994672754946728,-0.6775,-0.7436,-0.3068,0.1228,0.0256,52.0,-0.0787
0.3143,382.5,36.9774,387.12,7.03,7.27,6.79,0.0254,-0.0047,0.6715,2021-12-04,0.0332,True,106.0,call,0.0,0.01,0.0202,-0.0014,0.007994672754946728,-0.6808,-0.6597,-0.2688,0.1251,0.0253,27.0,-0.0861
0.3107,383.0,38.1366,387.12,6.66,6.89,6.44,0.0232,-0.005,0.6561,2021-12-04,0.0342,True,87.0,call,0.0,0.01,0.0198,-0.0014,0.007994672754946728,-0.6849,-0.5665,-0.2317,0.1274,0.0251,99.0,-0.0935
0.304,384.0,40.6215,387.12,5.94,6.12,5.76,0.0183,-0.0056,0.6233,2021-12-04,0.0361,True,173.0,call,0.0,0.01,0.0188,-0.0012,0.007994672754946728,-0.6911,-0.3743,-0.162,0.1314,0.0245,55.0,-0.108
0.2979,385.0,43.1929,387.12,5.27,5.41,5.13,0.0127,-0.0062,0.588,2021-12-04,0.0377,True,905.0,call,0.0,0.01,0.0178,-0.0009,0.007994672754946728,-0.6937,-0.1966,-0.1001,0.1347,0.0241,4630.0,-0.121
0.2905,386.0,46.2529,387.12,4.61,4.67,4.55,0.0065,-0.0067,0.5508,2021-12-04,0.0394,True,110.0,call,0.0,0.01,0.0167,-0.0006,0.007994672754946728,-0.6875,-0.064,-0.0466,0.137,0.0238,364.0,-0.1339
0.2844,387.0,49.4739,387.12,4.0,4.05,3.94,-0.0003,-0.0069,0.5112,2021-12-04,0.0405,True,1087.0,call,0.0,0.01,0.0155,-0.0002,0.007994672754946728,-0.678,-0.0015,-0.0011,0.138,0.0236,583.0,-0.1424
0.2826,387.5,50.9379,387.12,3.73,3.8,3.66,-0.0037,-0.007,0.4908,2021-12-04,0.0408,False,549.0,call,0.0,0.01,0.0149,-0.0,0.007994672754946728,-0.6736,-0.0069,0.0184,0.1381,0.0237,167.0,-0.1442
0.2826,388.0,52.04,387.12,3.5,3.54,3.45,-0.0072,-0.0069,0.4705,2021-12-04,0.0407,False,711.0,call,0.0,0.01,0.0143,0.0002,0.007994672754946728,-0.6717,-0.0391,0.0355,0.1377,0.0238,3589.0,-0.143
0.2771,389.0,55.6777,387.12,2.98,3.04,2.91,-0.0142,-0.0067,0.4286,2021-12-04,0.0409,False,669.0,call,0.0,0.01,0.013,0.0007,0.007994672754946728,-0.6496,-0.1942,0.0636,0.1359,0.0242,1263.0,-0.1422
0.274,390.0,58.9825,387.12,2.54,2.6,2.47,-0.0209,-0.0063,0.387,2021-12-04,0.0404,False,3585.0,call,0.0,0.01,0.0118,0.0011,0.007994672754946728,-0.6262,-0.4604,0.0834,0.1325,0.0248,11284.0,-0.1343
0.2704,391.0,62.5181,387.12,2.14,2.2,2.08,-0.027,-0.0056,0.3456,2021-12-04,0.0394,False,1118.0,call,0.0,0.01,0.0105,0.0016,0.007994672754946728,-0.5949,-0.828,0.0963,0.1276,0.0256,3709.0,-0.1213
0.2673,392.0,66.4194,387.12,1.78,1.83,1.73,-0.0324,-0.0047,0.3054,2021-12-04,0.0379,False,1136.0,call,0.0,0.01,0.0093,0.002,0.007994672754946728,-0.5588,-1.2569,0.1025,0.1213,0.0265,7421.0,-0.1034
0.2661,392.5,68.3673,387.12,1.62,1.65,1.58,-0.0347,-0.0042,0.2861,2021-12-04,0.0369,False,618.0,call,0.0,0.01,0.0087,0.0022,0.007994672754946728,-0.5398,-1.4751,0.1035,0.1177,0.027,1370.0,-0.0926
0.2637,393.0,70.6096,387.12,1.46,1.5,1.43,-0.0368,-0.0036,0.2663,2021-12-04,0.036,False,1678.0,call,0.0,0.01,0.0081,0.0024,0.007994672754946728,-0.5163,-1.7154,0.1036,0.1136,0.0274,5647.0,-0.0813
0.2649,394.0,73.364,387.12,1.23,1.29,1.18,-0.0398,-0.0026,0.2331,2021-12-04,0.0334,False,2477.0,call,0.0,0.01,0.0071,0.0026,0.007994672754946728,-0.4831,-2.0287,0.1009,0.1059,0.0282,8930.0,-0.057
0.2625,395.0,77.2304,387.12,1.0,1.03,0.97,-0.0418,-0.0014,0.1995,2021-12-04,0.0308,False,5173.0,call,0.0,0.01,0.0061,0.0028,0.007994672754946728,-0.4373,-2.3287,0.0954,0.0967,0.0288,22460.0,-0.0315
0.2625,396.0,80.6343,387.12,0.82,0.87,0.77,-0.0427,-0.0003,0.1708,2021-12-04,0.0279,False,2501.0,call,0.0,0.01,0.0052,0.0028,0.007994672754946728,-0.3969,-2.4493,0.088,0.0878,0.0291,12541.0,-0.0078
0.2612,397.0,84.2866,387.12,0.66,0.69,0.62,-0.0425,0.0007,0.1437,2021-12-04,0.0251,False,3790.0,call,0.0,0.01,0.0044,0.0029,0.007994672754946728,-0.3524,-2.4509,0.0794,0.0784,0.0291,9727.0,0.0151
0.2625,397.5,85.8116,387.12,0.6,0.64,0.55,-0.0421,0.0011,0.133,2021-12-04,0.0237,False,1274.0,call,0.0,0.01,0.0041,0.0028,0.007994672754946728,-0.336,-2.3694,0.075,0.0744,0.0289,5560.0,0.0238
0.2625,398.0,87.3888,387.12,0.54,0.58,0.51,-0.0414,0.0015,0.1219,2021-12-04,0.0223,False,3408.0,call,0.0,0.01,0.0037,0.0028,0.007994672754946728,-0.3161,-2.2732,0.0707,0.07,0.0287,19046.0,0.0328
0.2612,399.0,90.388,387.12,0.43,0.46,0.39,-0.0395,0.0023,0.1004,2021-12-04,0.0195,False,4175.0,call,0.0,0.01,0.0031,0.0027,0.007994672754946728,-0.2738,-1.9843,0.0619,0.0609,0.0279,17985.0,0.0497
0.2673,400.0,91.8625,387.12,0.37,0.38,0.36,-0.0378,0.0026,0.0878,2021-12-04,0.0172,False,14224.0,call,0.0,0.01,0.0027,0.0025,0.007994672754946728,-0.2538,-1.6352,0.0551,0.0552,0.0272,51735.0,0.0557
